tconst,primaryTitle,titleType,startYear,runtimeMinutes,genres
tt0003634,As Ye Sow,movie,1914,50,Drama
tt0003637,Assunta Spina,movie,1915,72,Drama
tt0003639,At the Cross Roads,movie,1914,\N,Drama
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',movie,1914,78,"Crime,Drama,Horror"
tt0003651,Badehotellet,movie,1915,\N,Drama
tt0003654,Bandits of the Border Mine,movie,1914,\N,Drama
tt0003655,The Banker's Daughter,movie,1914,\N,Drama
tt0003657,The Bargain,movie,1914,70,Western
tt0003663,Battle of Gettysgoat,movie,1914,\N,Comedy
tt0003664,The Battle of Love,movie,1914,\N,Drama
