tconst,primaryTitle,titleType,startYear,runtimeMinutes,genres
tt0003792,The Conspiracy,movie,1914,\N,"Drama,Mystery"
tt0003798,The Country Mouse,movie,1914,\N,Comedy
tt0003799,The County Chairman,movie,1914,\N,"Comedy,Drama"
tt0003802,The Criminal Code,movie,1914,\N,Drama
tt0003804,The Crucible,movie,1914,\N,"Drama,Romance"
tt0003806,Crushed,movie,1914,\N,\N
tt0003807,El cuervo del campamento,movie,1914,\N,\N
tt0003808,La cueva vengadora,movie,1914,\N,Drama
tt0003815,Damaged Goods,movie,1914,\N,Drama
tt0003816,Damon and Pythias,movie,1914,100,Drama
tt0003817,Dan,movie,1914,\N,"Drama,War"
tt0003820,The Dancer and the King,movie,1914,50,Drama
tt0003822,La danza fatal,movie,1915,58,\N
tt0003825,The Daughters of Men,movie,1914,\N,Drama
tt0003830,Detective Craig's Coup,movie,1914,\N,"Crime,Drama"
tt0003831,The Detective Queen,movie,1914,\N,Drama
tt0003832,La deuda del pasado,movie,1914,\N,\N
tt0003836,Diego Corrientes,movie,1914,\N,\N
tt0003838,The Dishonored Medal,movie,1914,\N,Adventure
tt0003840,Doc,movie,1914,\N,Western
tt0003854,Dodge City Trail,movie,1936,56,"Drama,Music,Western"
tt0003856,The Dollar Mark,movie,1914,50,Drama
tt0003859,Dope,movie,1914,\N,Drama
tt0003866,Un drama en Aragón,movie,1914,\N,\N
tt0003867,Un drama en la montaña,movie,1914,\N,\N
tt0003870,Judge Not,movie,1914,57,Drama
tt0003871,The Eagle's Mate,movie,1914,\N,Drama
tt0003874,La echadora de cartas,movie,1914,\N,\N
tt0003875,The Education of Mr. Pipp,movie,1914,\N,Comedy
tt0003878,O Embarque das Tropas Expedicionárias para Angola e Moçambique,movie,1914,\N,Documentary
tt0003883,L'enfant de Paris,movie,1913,124,"Crime,Drama"
tt0003884,Engelein,movie,1914,49,Comedy
tt0003886,Enoch Arden,movie,1914,\N,Drama
tt0003887,Entre ruinas,movie,1914,\N,\N
tt0003888,The Envoy Extraordinary,movie,1914,\N,Drama
tt0003889,Erstarrte Liebe,movie,1914,\N,\N
tt0003890,The Escape,movie,1914,60,Drama
tt0003891,Escaped from Siberia,movie,1914,\N,Drama
tt0003893,Even Unto Death,movie,1914,\N,Drama
tt0003897,The Exploits of Elaine,movie,1914,220,Action
tt0003924,Facing the Gattling Guns,movie,1914,\N,Drama
tt0003925,A Factory Magdalen,movie,1914,\N,Drama
tt0003929,Fantasma,movie,1914,\N,Fantasy
tt0003930,Fantomas: The Mysterious Finger Print,movie,1914,59,"Crime,Drama"
tt0003935,The Fatal Night,movie,1914,\N,"Drama,History"
tt0003938,The Fates and Flora Fourflush,movie,1914,\N,Comedy
tt0003951,Fatum,movie,1915,70,\N
tt0003952,Fantômas: The False Magistrate,movie,1914,70,"Crime,Drama"
tt0003954,La festa del Blat,movie,1914,\N,\N
tt0003955,Fiestas del Coso Blanco en Tarragona,movie,1914,\N,Documentary
tt0003957,"A Fight for Freedom; or, Exiled to Siberia",movie,1914,\N,Drama
tt0003958,The Fight for the Great Black Diamond,movie,1914,\N,\N
tt0003960,Loyalty,movie,1914,68,\N
